;description;energy;kms;location;make;model;price;title;transmission;year
3314;;gasolina;;San Isidro - Lima - Lima;honda;cr-v;13398;honda cr-v 2012;mecánica;2012
3315;;gasolina;219890;Jesus Maria - Lima - Lima;honda;civic;5000;honda civic 1998;mecánica;1998
3316;;gasolina;150000;San Miguel - Lima - Lima;honda;civic coupe;10500;honda civic coupe 2010;automática (secuencial);2010
3317;;gasolina;46500;Miraflores - Lima - Lima;honda;pilot;22500;honda pilot 2015;automática;2015
3318;;gasolina;85600;Surquillo - Lima - Lima;honda;pilot;10600;honda pilot 2006;automática;2006
3319;;gasolina;;Trujillo - Trujillo - La Libertad;honda;odyssey;4500;honda odyssey 2007;automática;2007
3320;;gasolina;89000;Chorrillos - Lima - Lima;honda;civic si;10500;honda civic si 2008;mecánica;2008
3321;;gasolina;76000;Ica - Ica - Ica;honda;civic;9700;honda civic 2009;mecánica;2009
3322;;gasolina;202002;Chorrillos - Lima - Lima;honda;cr-v;4000;honda cr-v 1998;automática;1998
3323;;gasolina;;Jesus Maria - Lima - Lima;honda;civic;2800;honda civic 1991;automática;1991
3324;;gasolina;2000;La Molina - Lima - Lima;honda;civic;26500;honda civic 2017;automática;2017
3325;;gasolina;46500;San Borja - Lima - Lima;honda;cr-v;17900;honda cr-v 2014;automática;2014
3326;;dual;80000;San Isidro - Lima - Lima;honda;legend;10500;honda legend 2008;automática (secuencial);2008
3327;;gasolina;52000;Trujillo - Trujillo - La Libertad;honda;cr-v;10000;honda cr-v 2015;automática;2015
3328;;gasolina;90000;Santiago de Surco - Lima - Lima;honda;pilot;16500;honda pilot 2012;automática (secuencial);2012
3329;;gasolina;78753;Santiago de Surco - Lima - Lima;honda;pilot;21200;honda pilot 2012;automática;2012
3330;;gasolina;155000;San Miguel - Lima - Lima;honda;civic si sedán;9000;honda civic si sedán 2009;mecánica;2009
3331;;gasolina;85000;San Miguel - Lima - Lima;honda;accord;6800;honda accord 2003;automática;2003
3332;;gasolina;245;Lince - Lima - Lima;honda;civic;4700;honda civic 1998;mecánica;1998
3333;;gasolina;115000;Breña - Lima - Lima;honda;crv;6500;honda crv 2001;automática;2001
3334;;gasolina;;San Isidro - Lima - Lima;honda;accord;8200;honda accord 2008;automática;2008
3335;;gasolina;81000;San Borja - Lima - Lima;honda;cr-v;;honda cr-v 2010;automática (secuencial);2010
3336;;gasolina;33000;Arequipa - Arequipa - Arequipa;honda;accord;10000;honda accord 2009;mecánica;2009
3337;;gasolina;115000;Breña - Lima - Lima;honda;crv;6500;honda crv 2001;automática;2001
3338;;gasolina;155000;Santiago de Surco - Lima - Lima;honda;pilot;15000;honda pilot 2009;automática;2009
3339;;gasolina;96000;San Borja - Lima - Lima;honda;civic;10300;honda civic 2010;automática;2010
