Index,Highest Charting Position,Number of Times Charted,Song Name,Streams,Artist,Artist Followers,Genre,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration (ms),Valence,Chord
1393,129,3,"Lose Yourself - From ""8 Mile"" Soundtrack",5118004,Eminem,46814751, rap,75.0,0.692,0.744,-4.565,0.257,0.00868,0.359,171.374,326467.0,0.0612,D
1404,61,1,Come Around Me,9533583,Justin Bieber,48544923, pop,66.0,0.648,0.681,-8.389,0.0378,0.263,0.0971,157.941,200773.0,0.767,D
1404,61,1,Come Around Me,9533583,Justin Bieber,48544923, post-teen pop,66.0,0.648,0.681,-8.389,0.0378,0.263,0.0971,157.941,200773.0,0.767,D
1405,64,1,Habitual,9120086,Justin Bieber,48544923, pop,62.0,0.764,0.443,-6.625,0.0439,0.52,0.0749,138.999,168200.0,0.63,E
1405,64,1,Habitual,9120086,Justin Bieber,48544923, post-teen pop,62.0,0.764,0.443,-6.625,0.0439,0.52,0.0749,138.999,168200.0,0.63,E
1406,65,1,All Around Me,9010535,Justin Bieber,48544923, pop,63.0,0.566,0.438,-7.564,0.0367,0.809,0.212,117.127,136907.0,0.692,C
1406,65,1,All Around Me,9010535,Justin Bieber,48544923, post-teen pop,63.0,0.566,0.438,-7.564,0.0367,0.809,0.212,117.127,136907.0,0.692,C
1407,72,1,Get Me (feat. Kehlani),8362828,Justin Bieber,48544923, pop,61.0,0.832,0.508,-6.913,0.149,0.0492,0.107,109.352,185427.0,0.75,F#/Gb
1407,72,1,Get Me (feat. Kehlani),8362828,Justin Bieber,48544923, post-teen pop,61.0,0.832,0.508,-6.913,0.149,0.0492,0.107,109.352,185427.0,0.75,F#/Gb
1408,79,1,Second Emotion (feat. Travis Scott),8109572,Justin Bieber,48544923, pop,61.0,0.796,0.777,-6.112,0.0567,0.0276,0.095,141.97,202720.0,0.96,B
1408,79,1,Second Emotion (feat. Travis Scott),8109572,Justin Bieber,48544923, post-teen pop,61.0,0.796,0.777,-6.112,0.0567,0.0276,0.095,141.97,202720.0,0.96,B
1409,85,1,Running Over (feat. Lil Dicky),7493188,Justin Bieber,48544923, pop,58.0,0.774,0.603,-7.319,0.0591,0.438,0.0869,149.982,179627.0,0.977,B
1409,85,1,Running Over (feat. Lil Dicky),7493188,Justin Bieber,48544923, post-teen pop,58.0,0.774,0.603,-7.319,0.0591,0.438,0.0869,149.982,179627.0,0.977,B
1410,86,1,Available,7473249,Justin Bieber,48544923, pop,58.0,0.702,0.608,-6.843,0.0359,0.0736,0.129,75.012,195333.0,0.597,D#/Eb
1410,86,1,Available,7473249,Justin Bieber,48544923, post-teen pop,58.0,0.702,0.608,-6.843,0.0359,0.0736,0.129,75.012,195333.0,0.597,D#/Eb
1412,103,1,Changes,6865229,Justin Bieber,48544923, pop,62.0,0.485,0.412,-7.766,0.042,0.738,0.12,64.062,135493.0,0.612,A
1412,103,1,Changes,6865229,Justin Bieber,48544923, post-teen pop,62.0,0.485,0.412,-7.766,0.042,0.738,0.12,64.062,135493.0,0.612,A
1413,116,1,Confirmation,6520106,Justin Bieber,48544923, pop,58.0,0.438,0.315,-8.186,0.0375,0.608,0.151,190.064,170587.0,0.449,G#/Ab
1413,116,1,Confirmation,6520106,Justin Bieber,48544923, post-teen pop,58.0,0.438,0.315,-8.186,0.0375,0.608,0.151,190.064,170587.0,0.449,G#/Ab
1415,135,1,E.T.A.,6008945,Justin Bieber,48544923, pop,58.0,0.465,0.494,-7.595,0.066,0.49,0.127,127.298,176733.0,0.457,E
1415,135,1,E.T.A.,6008945,Justin Bieber,48544923, post-teen pop,58.0,0.465,0.494,-7.595,0.066,0.49,0.127,127.298,176733.0,0.457,E
1417,141,1,Take It Out On Me,5858768,Justin Bieber,48544923, pop,54.0,0.772,0.616,-4.673,0.102,0.00337,0.104,129.967,178013.0,0.279,G
1417,141,1,Take It Out On Me,5858768,Justin Bieber,48544923, post-teen pop,54.0,0.772,0.616,-4.673,0.102,0.00337,0.104,129.967,178013.0,0.279,G
1420,164,1,That's What Love Is,5440037,Justin Bieber,48544923, pop,59.0,0.639,0.437,-6.959,0.0355,0.692,0.12,147.575,165120.0,0.751,A
1420,164,1,That's What Love Is,5440037,Justin Bieber,48544923, post-teen pop,59.0,0.639,0.437,-6.959,0.0355,0.692,0.12,147.575,165120.0,0.751,A
1426,61,3,Only The Young - Featured in Miss Americana,5111068,Taylor Swift,42227614, post-teen pop,63.0,0.56,0.78,-4.895,0.0517,0.00244,0.0714,93.516,157507.0,0.602,F
1428,193,1,At Least For Now,5033764,Justin Bieber,48544923, pop,54.0,0.375,0.304,-9.897,0.0325,0.683,0.196,83.832,149653.0,0.295,A
1428,193,1,At Least For Now,5033764,Justin Bieber,48544923, post-teen pop,54.0,0.375,0.304,-9.897,0.0325,0.683,0.196,83.832,149653.0,0.295,A
1430,186,2,Too Good At Goodbyes,4984764,Sam Smith,17097317,dance pop,72.0,0.681,0.372,-8.237,0.0432,0.64,0.169,91.873,201000.0,0.476,F
1430,186,2,Too Good At Goodbyes,4984764,Sam Smith,17097317, pop,72.0,0.681,0.372,-8.237,0.0432,0.64,0.169,91.873,201000.0,0.476,F
1430,186,2,Too Good At Goodbyes,4984764,Sam Smith,17097317, post-teen pop,72.0,0.681,0.372,-8.237,0.0432,0.64,0.169,91.873,201000.0,0.476,F
